words,turns,utterances,words_per_round,words_per_turn,words_per_utterance,utterances_per_turn,utterances_per_round,turns_per_round,round_duration_seconds,avg_turn_duration_seconds,avg_utterance_duration_seconds,round_duration,avg_turn_duration,avg_utterance_duration,pair_id,round,accuracy
498,17,29,498,29.294117647058822,17.17241379310345,1.7058823529411764,29,17,1124,31.0,40.142857142857146,00:18:44,00:00:31,00:00:40,oatjomyt_9jy7s7q8_zvf8up69,1,100.0
304,2,14,304,152.0,21.714285714285715,7.0,14,2,572,282.0,44.0,00:09:32,00:04:42,00:00:44,oatjomyt_9jy7s7q8_zvf8up69,2,100.0
256,2,14,256,128.0,18.285714285714285,7.0,14,2,353,173.0,27.153846153846153,00:05:53,00:02:53,00:00:27,oatjomyt_9jy7s7q8_zvf8up69,3,91.66666667
241,2,13,241,120.5,18.53846153846154,6.5,13,2,276,134.0,23.0,00:04:36,00:02:14,00:00:23,oatjomyt_9jy7s7q8_zvf8up69,4,100.0
148,25,26,148,5.92,5.6923076923076925,1.04,26,25,525,0.2,21.0,00:08:45,00:00:00,00:00:21,oatjomyt_dx7kwl44_f2zft59k,1,66.66666667
124,19,21,124,6.526315789473684,5.904761904761905,1.105263157894737,21,19,489,3.263157894736842,24.45,00:08:09,00:00:03,00:00:24,oatjomyt_dx7kwl44_f2zft59k,2,25.0
85,5,14,85,17.0,6.071428571428571,2.8,14,5,235,35.6,18.076923076923077,00:03:55,00:00:35,00:00:18,oatjomyt_dx7kwl44_f2zft59k,3,75.0
66,1,12,66,66.0,5.5,12.0,12,1,173,173.0,15.727272727272727,00:02:53,00:02:53,00:00:15,oatjomyt_dx7kwl44_f2zft59k,4,100.0
544,33,35,544,16.484848484848484,15.542857142857143,1.0606060606060606,35,33,1238,1.4848484848484849,36.411764705882355,00:20:38,00:00:01,00:00:36,oatjomyt_jq4g6tz7_qkrlfrjg,1,100.0
307,24,24,307,12.791666666666666,12.791666666666666,1.0,24,24,652,0.0,28.347826086956523,00:10:52,00:00:00,00:00:28,oatjomyt_jq4g6tz7_qkrlfrjg,2,100.0
232,25,25,232,9.28,9.28,1.0,25,25,475,0.0,19.791666666666668,00:07:55,00:00:00,00:00:19,oatjomyt_jq4g6tz7_qkrlfrjg,3,100.0
165,24,24,165,6.875,6.875,1.0,24,24,285,0.0,12.391304347826088,00:04:45,00:00:00,00:00:12,oatjomyt_jq4g6tz7_qkrlfrjg,4,100.0
282,32,34,282,8.8125,8.294117647058824,1.0625,34,32,749,1.1875,22.696969696969695,00:12:29,00:00:01,00:00:22,oatjomyt_kcdph60s_nnard4ka,1,91.66666667
134,23,27,134,5.826086956521739,4.962962962962963,1.173913043478261,27,23,326,1.565217391304348,12.538461538461538,00:05:26,00:00:01,00:00:12,oatjomyt_kcdph60s_nnard4ka,2,100.0
76,23,23,76,3.3043478260869565,3.3043478260869565,1.0,23,23,129,0.0,5.863636363636363,00:02:09,00:00:00,00:00:05,oatjomyt_kcdph60s_nnard4ka,3,100.0
61,21,22,61,2.9047619047619047,2.772727272727273,1.0476190476190477,22,21,113,0.23809523809523808,5.380952380952381,00:01:53,00:00:00,00:00:05,oatjomyt_kcdph60s_nnard4ka,4,100.0
391,35,41,391,11.17142857142857,9.536585365853659,1.1714285714285715,41,35,1057,2.5142857142857142,26.425,00:17:37,00:00:02,00:00:26,oatjomyt_pog2ivsb_ru7kjtls,1,91.66666667
244,25,28,244,9.76,8.714285714285714,1.12,28,25,595,1.56,22.037037037037038,00:09:55,00:00:01,00:00:22,oatjomyt_pog2ivsb_ru7kjtls,2,91.66666667
356,32,38,356,11.125,9.368421052631579,1.1875,38,32,804,3.75,21.72972972972973,00:13:24,00:00:03,00:00:21,oatjomyt_pog2ivsb_ru7kjtls,3,100.0
200,26,29,200,7.6923076923076925,6.896551724137931,1.1153846153846154,29,26,447,2.5,15.964285714285714,00:07:27,00:00:02,00:00:15,oatjomyt_pog2ivsb_ru7kjtls,4,100.0
